movie_title,movie_type,movie_content,movie_img,movie_open_date,movie_rating,movie_runtime,movie_actor,movie_director,movie_country,movie_seq
가장 보통의 연애,멜로/로맨스,"전 여친에 상처받은 ‘재훈’(김래원).
 여느 때처럼 숙취로 시작한 아침,
 모르는 번호의 누군가와 밤새 2시간이나 통화한 기록을 발견하게 되고
 그 상대가 바로! 통성명한 지 24시간도 채 되지 않은 직장 동료 ‘선영’임을 알게 된다.
 
 남친과 뒤끝 있는 이별 중인 ‘선영’(공효진).
 새로운 회사로 출근한 첫날, 할 말 못 할 말 쏟아내며 남친과 헤어지던 현장에서
 하필이면! 같은 직장의 ‘재훈’을 마주친다.
 
 만난 지 하루 만에 일보다 서로의 연애사를 더 잘 알게 된 두 사람.
 하지만 미묘한 긴장과 어색함도 잠시
 ‘한심하다’, ‘어이없다’ 부딪히면서도 마음이 쓰이는 건 왜 그럴까?",가장 보통의 연애.jpg,2019.10.02,7.73,109분,"김래원(재훈), 공효진(선영)",김한결,대한민국,195
말모이,드라마,"1940년대 우리말이 점점 사라져가고 있는 경성.
 극장에서 해고된 후 아들 학비 때문에 가방을 훔치다 실패한 판수.
 하필 면접 보러 간 조선어학회 대표가 가방 주인 정환이다.
 사전 만드는데 전과자에다 까막눈이라니!
 그러나 판수를 반기는 회원들에 밀려 정환은 읽고 쓰기를 떼는 조건으로 그를 받아들인다.
 돈도 아닌 말을 대체 왜 모으나 싶었던 판수는 난생처음 글을 읽으며 우리말의 소중함에 눈뜨고,
 정환 또한 전국의 말을 모으는 ‘말모이’에 힘을 보태는 판수를 통해 ‘우리’의 소중함에 눈뜬다.
 얼마 남지 않은 시간, 바짝 조여오는 일제의 감시를 피해 ‘말모이’를 끝내야 하는데…
 
 우리말이 금지된 시대, 말과 마음이 모여 사전이 되다",말모이.jpg,2019.01.09,9.14,135분,"유해진(김판수), 윤계상(류정환)",엄유나,대한민국,196
증인,드라마,"“목격자가 있어. 자폐아야”
 
 신념은 잠시 접어두고 현실을 위해 속물이 되기로 마음먹은
 민변 출신의 대형 로펌 변호사 ‘순호’(정우성).
 파트너 변호사로 승진할 수 있는 큰 기회가 걸린 사건의 변호사로 지목되자
 살인 용의자의 무죄를 입증하기 위해
 유일한 목격자인 자폐 소녀 ‘지우’(김향기)를 증인으로 세우려 한다.
 
 “아저씨도 나를 이용할 겁니까?”
 
 자기만의 세계에 빠져 의사소통이 어려운 ‘지우’.
 ‘순호’는 사건 당일 목격한 것을 묻기 위해 ‘지우’를 찾아가지만, 제대로 된 인사조차 나누지 못한다.
 하지만 그날의 이야기를 듣기 위해 지우에게 다가가려 노력하는 ‘순호’,
 시간이 흐를수록 조금씩 ‘지우’에 대해 이해하게 되지만
 이제 두 사람은 법정에서 변호사와 증인으로 마주해야 하는데…
 
 마음을 여는 순간,
 진실이 눈앞에 다가왔다",증인.jpg,2019.02.13,9.1,129분,"정우성(순호), 김향기(지우)",이한,대한민국,197
블랙머니,"범죄, 드라마","일명 서울지검 ‘막프로’! 검찰 내에서 거침없이 막 나가는 문제적 검사로
 이름을 날리는 ‘양민혁’은 자신이 조사를 담당한 피의자가 자살하는 사건으로 인해
 하루 아침에 벼랑 끝에 내몰린다. 억울한 누명을 벗기 위해 내막을 파헤치던 그는
 피의자가 대한은행 헐값 매각사건의 중요 증인이었음을 알게 된다.
 
 근거는 의문의 팩스 5장! 자산가치 70조 은행이 1조 7천억원에 넘어간
 희대의 사건 앞에서 ‘양민혁’ 검사는 금융감독원, 대형 로펌, 해외펀드 회사가 뒤얽힌
 거대한 금융 비리의 실체와 마주하게 되는데…
 
 대한민국 최대의 금융스캔들, 사건은 아직 끝나지 않았다!",블랙머니.jpg,2019.11.13,8.41,113분,"조진웅(양민혁), 이하늬(김나리)",정지영,대한민국,198
터미네이터: 다크 페이트,"SF, 액션","심판의 날 그 후, 뒤바뀐 미래
 새로운 인류의 희망 ‘대니’(나탈리아 레이즈)를 지키기 위해 슈퍼 솔져 ‘그레이스’(맥켄지 데이비스)가
 미래에서 찾아오고, ‘대니’를 제거하기 위한 터미네이터 ‘Rev-9’(가브리엘 루나)의 추격이 시작된다.
 
 최첨단 기술력으로 무장한 최강의 적 터미네이터 ‘Rev-9’의 무차별적인 공격에 쫓기기 시작하던
 ‘그레이스’와 ‘대니’ 앞에 터미네이터 헌터 ‘사라 코너’(린다 해밀턴)가 나타나 도움을 준다.
 
 인류의 수호자이자 기계로 강화된 슈퍼 솔져 ‘그레이스’와 ‘사라 코너’는 ‘대니’를 지키기 위해
 새로운 조력자를 찾아 나서고, 터미네이터 ‘Rev-9’은 그들의 뒤를 끈질기게 추격하는데...
 
 더 이상 정해진 미래는 없다
 지키려는 자 VS 제거하려는 자, 새로운 운명이 격돌한다!",터미네이터 다크 페이트.jpg,2019.10.30,8.42,128분,"맥켄지 데이비스(그레이스), 아놀드 슈왈제네거(터미네이터), 린다 해밀턴(사라 코너)",팀 밀러,미국,199
사바하,"미스터리, 스릴러","한 시골 마을에서 쌍둥이 자매가 태어난다.
 온전치 못한 다리로 태어난 ‘금화’(이재인)와 모두가 오래 살지 못할 것이라고 했던 언니 ‘그것’.
 하지만 그들은 올해로 16살이 되었다.
 
 신흥 종교 비리를 찾아내는 종교문제연구소 ‘박목사’(이정재)는
 사슴동산이라는 새로운 종교 단체를 조사 중이다.
 영월 터널에서 여중생이 사체로 발견되는 사건이 발생하고
 이를 쫓던 경찰과 우연히 사슴동산에서 마주친 박목사는 이번 건이 심상치 않음을 직감한다.
 
 하지만 진실이 밝혀지기 전 터널 사건의 용의자는 자살하고,
 그가 죽기 전 마지막으로 만난 실체를 알 수 없는 정비공 ‘나한’(박정민)과
 16년 전 태어난 쌍둥이 동생 금화의 존재까지
 사슴동산에 대해 파고들수록 박목사는 점점 더 많은 미스터리와 마주하게 되는데…!
 
 그것이 태어나고 모든 사건이 시작되었다",사바하.jpg,2019.02.20,7.35,122분,"이정재(박목사), 박정민(정나한), 이재인(금화/그것)",장재현,대한민국,200
타짜: 원 아이드 잭,"범죄, 드라마","전설적인 타짜 ‘짝귀’의 아들이자 고시생인 ‘일출’(박정민)은 공부에는 흥미가 없지만
 포커판에서는 날고 기는 실력자다. 포커판에서 우연히 알게 된 ‘마돈나’(최유화)의 묘한 매력에 빠져든 일출은
 그녀의 곁을 지키는 ‘이상무’(윤제문)에게 속아 포커의 쓴맛을 제대로 배운다.
 돈도 잃고 자존심까지 무너진 채 벼랑 끝에 몰린 도일출, 그의 앞에 정체불명의 타짜 ‘애꾸’(류승범)가 나타난다.
 
 거액이 걸린 거대한 판을 설계한 애꾸는 전국에서 타짜들을 불러모은다.
 일출을 시작으로 셔플의 제왕 까치(이광수), 남다른 연기력의 영미(임지연), 숨은 고수 권원장(권해효)까지
 무엇이든 될 수 있고, 누구든 이길 수 있는 ‘원 아이드 잭’ 팀으로 모인 이들, 인생을 바꿀 새로운 판에 뛰어드는데…
 
 베팅을 할 때는 인생을 걸어야지! 타짜니까!",타짜 원 아이드 잭.jpg,2019.09.11,5.37,139분,"박정민(도일출), 류승범(애꾸), 최유화(마돈나)",권오광,대한민국,201
신의 한 수: 귀수편,"범죄, 액션","바둑으로 모든 것을 잃은 아이 ‘귀수’
 유일하게 기대던 스승 허일도마저 잃고 홀로 살아남아
 세상을 향한 복수를 계획한다.
 운명의 선택은 神의 놀음판에 있다!
 자신을 사지로 내몬 냉혹한 내기바둑판으로 뛰어든 귀수(권상우)는
 전국을 돌아다니며 귀신 같이 바둑을 두는 자들과 대결을 펼치는데…
 
 사활을 건 대결!
 신의 한 수를 다시 두시겠습니까?",신의 한 수 귀수편.jpg,2019.11.07,7.77,106분,"권상우(귀수), 김희원(똥선생), 김성균(허일도)",리건,대한민국,202
알리타: 배틀 엔젤,"액션, 모험, 멜로/로맨스, SF, 스릴러","모두가 갈망하는 공중도시와 그들을 위해 존재하는 고철도시로 나누어진 26세기.
 고철 더미 속 모든 기억을 잃은 채 깨어난 알리타는 마음 따뜻한 의사 이도의 보살핌으로 새로운 삶을 시작한다.
 이도는 사이보그인 알리타에게 특별한 과거의 비밀과 영혼이 존재한다는 사실을 깨닫고
 미스터리한 과거로부터 그녀를 지키고자 한다.
 한편, 새로운 친구 휴고는 알리타가 위험한 고철도시를 헤쳐나갈 수 있는 방법과 함께 기억을 되찾도록 돕는다.
 
 알리타가 자신의 과거에 다가 갈수록 도시를 지배하는 악랄한 세력들이 그녀를 노리며 제거하려고 하고
 자신이 착취와 약탈의 고철도시를 구할 수 있는 열쇠임을 깨닫게 된 알리타는
 사랑하는 가족과 친구, 새로운 세상을 위해 통제된 세상의 무시무시한 적들과 맞서게 되는데…",알리타 배틀 엔젤.jpg,2019.02.05,8.7,122분,"로사 살라자르(알리타), 크리스토프 왈츠(닥터 다이슨 이도), 키언 존슨(휴고)",로버트 로드리게즈,"미국 , 캐나다 , 아르헨티나",203
내안의 그놈,"판타지, 코미디","엘리트 아재 판수(박성웅)를 우연히 옥상에서 떨어진 고등학생 동현(진영)이 덮치면서 제대로 바뀐다.
 게다가 판수는 동현의 몸으로 첫사랑 미선(라미란)과 존재도 몰랐던 딸 현정(이수민)을 만나게 되는데…
 대유잼의 향연, 넌 이미 웃고 있다!",내안의 그놈.jpg,2019.01.09,8.19,122분,"진영(동현), 박성웅(판수), 라미란(미선)",강효진,대한민국,204
뺑반,"범죄, 액션","경찰 내 최고 엘리트 조직 내사과 소속 경위 ‘은시연’(공효진).
 조직에서 유일하게 믿고 따르는 ‘윤과장’(염정아)과 함께
 F1 레이서 출신의 사업가 ‘정재철’(조정석)을 잡기 위해 수사망을 조여가던 시연은
 무리한 강압 수사를 벌였다는 오명을 쓰고 뺑소니 전담반으로 좌천된다.
 
 알고 보면 경찰대 수석 출신, 만삭의 리더 ‘우계장’(전혜진)과
 차에 대한 천부적 감각을 지닌 에이스 순경 ‘서민재’(류준열).
 팀원은 고작 단 두 명, 매뉴얼도 인력도 시간도 없지만 뺑소니 잡는 실력만큼은 최고인 ‘뺑반’.
 계속해서 재철을 예의주시하던 시연은 뺑반이 수사 중인 미해결 뺑소니 사건의 유력한 용의자가 재철임을 알게 된다.
 
 뺑소니 친 놈은 끝까지 쫓는 뺑반 에이스 민재와
 온갖 비리를 일삼는 재철을 잡기 위해 모든 것을 건 시연.
 하나의 목표를 향해 힘을 합친 그들의 팀플레이가 시작되는 가운데
 방법을 가리지 않고 수사망을 빠져 나가려는 통제불능 스피드광 재철의 반격 역시 점점 과감해지는데…!",뺑반.jpg,2019.01.30,5.97,133분,"공효진(시연), 류준열(민재), 조정석(재철)",한준희,대한민국,205
변신,"공포, 스릴러","사람의 모습으로 변신하는 악마가 우리 가족 안에 숨어들면서
 기이하고 섬뜩한 사건들이 벌어진다
 서로 의심하고 증오하고 분노하는 가운데
 구마 사제인 삼촌 '중수'가 예고없이 찾아오는데…
 
 절대 믿지도 듣지도 마라",변신.jpg,2019.08.21,6.73,113분,"배성우(박중수), 성동일(박강구), 장영남(최명주)",김홍선,대한민국,206
주먹왕 랄프 2: 인터넷 속으로,"애니메이션, 모험, 코미디, 가족, SF","각종 사고를 치며 게임 속 세상을 뒤집어 놨던 절친 주먹왕 ‘랄프’와 ‘바넬로피’는
 버려질 위기에 처한 오락기 부품을 구하기 위해 와이파이를 타고 인터넷 세상에 접속한다.
 
 얼떨결에 올린 동영상으로 순식간에 핵인싸에 등극한 ‘랄프’와
 룰도 트랙도 없는 스릴만점 슬로터 레이스 게임에 참여하게 된 ‘바넬로피’
 
 지금껏 경험한 적 없는 엄청난 스케일과 새로운 재미에 흠뻑 빠진
 ‘랄프’와 ‘바넬로피’는 랜섬웨어급 사고로 인터넷 세상을 혼란에 빠뜨리는데…
 
 과연, 이들은 무사히 집에 돌아갈 수 있을까?",주먹왕 랄프 2 인터넷 속으로.jpg,2019.01.03,8.62,112분,"존 C. 라일리(랄프 목소리), 사라 실버맨(바넬로피 목소리), 제인 린치(칼훈 목소리)","필 존스턴, 리치 무어",미국,207
걸캅스,"코미디, 액션","민원실 퇴출 0순위 전직 전설의 형사 '미영'과 민원실로 밀려난 현직 꼴통 형사 '지혜'
 집에서는 눈만 마주쳐도 으르렁 대는 시누이 올케 사이인 두 사람은
 민원실에 신고접수를 하기 위해 왔다가 차도에 뛰어든 한 여성을 목격하고
 그녀가 48시간 후 업로드가 예고된 디지털 성범죄 사건의 피해자란 사실을 알게 된다.
 강력반, 사이버 범죄 수사대, 여성청소년계까지 경찰 내 모든 부서들에서
 복잡한 절차와 인력 부족을 이유로 사건이 밀려나자
 ‘미영’과 ‘지혜’는 비공식 수사에 나서기로 결심한다.
 
 수사가 진전될수록 형사의 본능이 꿈틀대는 ‘미영’과 정의감에 활활 불타는 ‘지혜’는
 드디어 용의자들과 마주할 기회를 잡게 되는데…
 
 걸크러시 콤비의 비공식 합동 수사가 펼쳐진다!",걸캅스.jpg,2019.05.09,5.69,107분,"라미란(박미영), 이성경(조지혜)",정다원,대한민국,208
사자,"미스터리, 액션, 판타지, 공포","어릴 적 아버지를 잃은 뒤 세상에 대한 불신만 남은 격투기 챔피언 ‘용후’(박서준).
 어느 날 원인을 알 수 없는 깊은 상처가 손바닥에 생긴 것을 발견하고,
 도움을 줄 누군가가 있다는 장소로 향한다.
 그곳에서 바티칸에서 온 구마사제 ‘안신부’(안성기)를 만나
 자신의 상처 난 손에 특별한 힘이 있음을 깨닫게 되는 ‘용후’.
 이를 통해 세상을 혼란에 빠뜨리는 악(惡)의 존재를 알게 되고,
 강력한 배후이자 악을 퍼뜨리는 검은 주교 ‘지신’(우도환)을 찾아 나선 ‘안신부’와 함께 하게 되는데...!
 
 악의 편에 설 것인가
 악에 맞설 것인가
 신의 사자가 온다!",사자.jpg,2019.07.31,6.88,129분,"박서준(용후), 안성기(안신부), 우도환(지신)",김주환,대한민국,209
드래곤 길들이기 3,"애니메이션, 모험","영원한 친구 히컵과 투슬리스의 활약으로
 사람과 드래곤이 공존하며 평화롭게 살아가는 버크섬.
 새로운 드래곤 ‘라이트 퓨어리’를 쫓아간 투슬리스를 찾다가
 히컵은 누구도 찾지 못했던 드래곤의 파라다이스 ‘히든월드’를 우연히 발견하게 된다.
 하지만 평화도 잠시, 역대 최악의 드래곤 헌터 그리멜의 등장으로
 드래곤들의 안전과 버크섬의 평화까지 위협받기 시작하는데…",드래곤 길들이기 3.jpg,2019.01.30,9.26,104분,"제이 바루첼(히컵 목소리), 아메리카 페레라(아스트리드 목소리), 케이트 블란쳇(발카 목소리)",딘 데블로이스,미국,210
나의 특별한 형제,"드라마, 코미디","비상한 두뇌를 가졌지만 동생 ‘동구’ 없이는 아무 데도 못 가는 형 ‘세하’(신하균),
 뛰어난 수영실력을 갖췄지만 형 ‘세하’ 없이는 아무것도 못 하는 동생 ‘동구’(이광수).
 이들은 피 한 방울 섞이지 않았지만 20년 동안 한 몸처럼 살아온 ‘특별한 형제’다.
 
 어느 날 형제의 보금자리 ‘책임의 집’을 운영하던 신부님이 돌아가시자
 모든 지원금이 끊기게 되고, 각각 다른 장애를 가진 두 사람은 헤어질 위기에 처하고 만다.
 
 세하는 ‘책임의 집’을 지키고 동구와 떨어지지 않기 위해
 구청 수영장 알바생이자 취준생 ‘미현’(이솜)을 수영코치로 영입하고,
 동구를 수영대회에 출전시켜 사람들의 이목을 집중시키는 데 성공한다.
 
 헤어지지 않을 수 있다는 희망을 본 것도 잠시,
 예상치 못한 인물이 형제 앞에 등장하면서 형제는 새로운 위기를 겪게 되는데...!",나의 특별한 형제.jpg,2019.05.01,8.95,114분,"신하균(세하), 이광수(동구), 이솜(미현)",육상효,대한민국,211
어스,"스릴러, 공포","우리는 누구인가?
 엄마, 아빠, 딸, 아들
 그리고 다시
 엄마, 아빠, 딸, 아들…",어스.jpg,2019.03.27,6.7,116분,"루피타 뇽(애들레이드 윌슨/레드), 윈스턴 듀크(게이브 윌슨/아브라함), 엘리자베스 모스(키티 타일러/달리아)",조던 필,미국,212
말레피센트 2,판타지,"강력한 어둠의 지배자이자 무어스 숲의 수호자 ‘말레피센트’는 딸처럼 돌봐온 ‘오로라’와 ‘필립 왕자’의 결혼 약속으로 인간 세계의 ‘잉그리스 왕비’와 대립하게 된다.
 이에 요정과 인간의 오랜 연합이 깨지고 숨겨진 요정 종족 다크페이의 리더 ‘코널’까지 등장하면서 두 세계는 피할 수 없는 거대한 전쟁에 휘말리게 되는데…..",말레피센트 2.jpg,2019.10.17,6.97,119분,"안젤리나 졸리(말레피센트), 엘르 패닝(오로라), 미셸 파이퍼(잉그리스 왕비)",요아킴 뢰닝,미국,213
포드 V 페라리,"액션, 드라마","1960년대, 매출 감소에 빠진 ‘포드’는 판매 활로를 찾기 위해
 스포츠카 레이스를 장악한 절대적 1위 ‘페라리’와의 인수 합병을 추진한다.
 막대한 자금력에도 불구, 계약에 실패하고 엔초 페라리로부터 모욕까지 당한 헨리 포드 2세는
 르망 24시간 레이스에서 페라리를 박살 낼 차를 만들 것을 지시한다.
 
 불가능을 즐기는 두 남자를 주목하라!
 
 세계 3대 자동차 레이싱 대회이자 ‘지옥의 레이스’로 불리는 르망 24시간 레이스.
 출전 경험조차 없는 ‘포드’는 대회 6연패를 차지한 ‘페라리’에 대항하기 위해
 르망 레이스 우승자 출신 자동차 디자이너 ‘캐롤 셸비’(맷 데이먼)를 고용하고,
 그는 누구와도 타협하지 않지만 열정과 실력만큼은 최고인
 레이서 ‘켄 마일스’(크리스찬 베일)를 자신의 파트너로 영입한다.
 
 포드의 경영진은 제 멋대로인 ‘켄 마일스’를 눈엣가시처럼 여기며
 자신들의 입맛에 맞춘 레이스를 펼치기를 강요하지만
 두 사람은 어떤 간섭에도 굴하지 않고 불가능을 뛰어넘기 위한 질주를 시작하는데…
 
 그 어떤 각본보다 놀라운 실화가 펼쳐진다!",포드 V 페라리.jpg,2019.12.04,9.48,152분,"맷 데이먼(캐롤 셸비), 크리스찬 베일(켄 마일스)",제임스 맨골드,미국,214
유열의 음악앨범,"멜로/로맨스, 드라마","""오늘 기적이 일어났어요.""
 1994년 가수 유열이 라디오 DJ를 처음 진행하던 날,
 엄마가 남겨준 빵집에서 일하던 미수(김고은)는 우연히 찾아 온 현우(정해인)를 만나
 설레는 감정을 느끼게 되지만 뜻하지 않은 사건으로 인해 연락이 끊기게 된다.
 
 ""그때, 나는 네가 돌아오지 않을 거라고 생각했어. 그래도 기다렸는데…""
 다시 기적처럼 마주친 두 사람은 설렘과 애틋함 사이에서 마음을 키워 가지만 서로의 상황과 시간은 자꾸 어긋나기만 한다.
 계속되는 엇갈림 속에서도 라디오 ‘유열의 음악앨범’과 함께 우연과 필연을 반복하는 두 사람…
 
 함께 듣던 라디오처럼 그들은 서로의 주파수를 맞출 수 있을까?",유열의 음악앨범.jpg,2019.08.28,6.27,122분,"김고은(미수), 정해인(현우)",정지우,대한민국,215
퍼펙트맨,"코미디, 드라마","퍼펙트한 인생을 위해 한탕을 꿈꾸는 건달 ‘영기’(조진웅)
 조직 보스의 돈 7억을 빼돌려 주식에 투자하지만, 사기꾼에게 속아 주식은 휴지조각이 되고 만다.
 목숨을 부지하기 위해 어떻게든 7억을 구해야 하는 영기 앞에
 까칠한 로펌 대표 ‘장수’(설경구)가 나타난다.
 
 두 달 시한부 ‘장수’는 자신이 해야 할 일들을 도와주는 조건으로
 영기에게 자신의 사망보험금을 내건 빅딜을 제안하는데…
 
 돈 쫌 많은 로펌 대표와 폼 쫌 잡는 꼴통 건달
 퍼펙트하게 다른 두 남자의 인생 최대 반전이 시작된다",퍼펙트맨.jpg,2019.10.02,7.87,116분,"설경구(장수), 조진웅(영기)",용수,대한민국,216
생일,드라마,"""2014년 4월 이후... 남겨진 우리들의 이야기""
 
 세상을 먼저 떠난 아들 ‘수호’ 에 대한 그리움을 안고 살아가는 '정일'과 '순남'의 가족.
 어김없이 올해도 아들의 생일이 돌아오고, 가족들의 그리움은 더욱 커져만 간다.
 
 수호가 없는 수호의 생일.
 가족과 친구들은 함께 모여 서로가 간직했던 특별한 기억을 선물하기로 하는데..
 
 1년에 단 하루. 널 위해, 우리 모두가 다시 만나는 날.
 ""영원히 널 잊지 않을게.""",생일.jpg,2019.04.03,7.29,120분,"설경구(정일), 전도연(순남)",이종언,대한민국,217
"힘을 내요, 미스터 리","코미디, 드라마","가던 길도 멈추게 하는 심쿵 비주얼의 대복칼국수 반전미남 ‘철수’(차승원)
 완벽한 외모와 달리 아이보다 더 아이 같은 그의 앞에
 어느 날 어른보다 더 어른 같은 딸 ‘샛별’(엄채영)이 나타난다.
 
 오늘 처음 봤는데… 내 딸이라고???
 누구냐 넌?!
 
 마른하늘에 '딸'벼락 맞은
 철수의 미스터리한 정체가 밝혀진다!","힘을 내요, 미스터 리.jpg",2019.09.11,7.73,111분,"차승원(철수), 엄채영(샛별), 박해준(영수)",이계벽,대한민국,218
항거:유관순 이야기,드라마,"1919년 3.1 만세운동 후 세평도 안 되는 서대문 감옥 8호실 속,
 영혼만은 누구보다 자유로웠던 유관순과 8호실 여성들의 1년의 이야기.",항거유관순 이야기.jpg,2019.02.27,8.66,105분,"고아성(유관순), 김새벽(김향화), 김예은(권애라)",조민호,대한민국,219
장사리 : 잊혀진 영웅들,전쟁,"인천상륙작전 D-1
 ‘이명준’ 대위가 이끄는 유격대와 전투 경험이 없는 학도병들을 태운 문산호는
 인천상륙작전의 양동작전인 장사상륙작전을 위해 장사리로 향한다.
 평균나이 17세, 훈련기간 단 2주에 불과했던 772명 학도병들이
 악천후 속에서 소나기처럼 쏟아지는 총알을 맞으며 상륙을 시도하는데…",장사리  잊혀진 영웅들.jpg,2019.09.25,8.27,104분,"김명민(이명준), 최민호(최성필), 김성철(기하륜)","곽경택, 김태훈",대한민국,220
마이펫의 이중생활2,"애니메이션, 모험, 코미디","집을 비우면 다시 시작되는 펫들의 시크릿 라이프!
 집구석 걱정에 하루도 편할 날이 없는 ‘맥스’
 캣닢을 사랑하는 자유로운 영혼 ‘클로이’
 슈퍼히어로를 따라 하는 토끼 ‘스노우볼’
 완벽하게 고양이가 되고픈 강아지 ‘기젯’까지
 아직도 나만 몰랐던 마이펫들의 속마음이 공개된다!
 
 “우릴 키운다고? 그건 니 생각이고~”",마이펫의 이중생활2.jpg,2019.07.31,8.75,85분,"패튼 오스왈트(맥스 목소리), 케빈 하트(스노우볼 목소리), 제니 슬레이트(기젯 목소리)",크리스 리노드,미국,221
롱 리브 더 킹: 목포 영웅,"액션, 드라마","거대 조직의 보스로 거침 없이 살고 있는 ‘장세출’은
 철거 용역으로 나간 재건설 반대 시위 현장에서 만난 강단 있는 변호사 ‘강소현’의 일침으로
 그녀가 원하는 ‘좋은 사람’이 되기로 마음 먹는다.
 
 모든 것을 내려놓고 새사람이 되기 위해 노력하던 ‘장세출’은 우연히 버스 추락 사고에서 온 몸으로 시민을 구하며
 일약 목포 영웅으로 떠오르게 되고, 예기치 못한 사건으로 국회의원에 출마하게 된다.
 
 발로 뛰며 점점 시민의 마음을 움직인 ‘장세출’의 입지가 높아지자,
 목포에서 3선을 노리던 반대파 후보 ‘최만수’는 ‘장세출’을 눈엣가시로 여기고
 그를 저지하기 위해 ‘장세출’의 라이벌 조직 보스 ‘조광춘’과 손을 잡고 음모를 계획하는데…",롱 리브 더 킹 목포 영웅.jpg,2019.06.19,7.53,118분,"김래원(장세출), 원진아(강소현), 진선규(조광춘)",강윤성,대한민국,222
쥬만지: 넥스트 레벨,"액션, 모험","쥬만지 게임으로부터 가까스로 탈출해 평화로운 일상을 보내던 스펜서와 친구들.
 어느 날, 스펜서는 망가진 쥬만지 게임 속으로 사라지고
 마사와 베서니, 프리지 역시 그를 찾기 위해 다시 들어가기로 결심한다.
 그리고 우연히 게임에 합류하게 된 새로운 멤버, 스펜서의 할아버지 에디와 마일로.
 위험천만한 게임 속으로 들어가게 된 이들은 정글부터 설산, 사막까지
 한층 진화된 예측 불가능한 게임 속에서 현실 세계로 돌아오기 위해 목숨을 건 미션을 시작하는데......",쥬만지 넥스트 레벨.jpg,2019.12.11,6.12,122분,"드웨인 존슨, 잭 블랙, 케빈 하트",제이크 캐스단,미국,223
존 윅 3: 파라벨룸,"액션, 범죄, 스릴러","전설이라 불리던 킬러 ‘존 윅’
 은퇴한 그를 암살자의 세계로 누군가가 끌어당기고,
 더 이상 잃을 것 없는 그는 복수와 동시에 함정에 빠지게 된다.
 
 킬러에서 암살자의 표적이 된 그,
 오직 평화를 위한 전쟁을 다시 한번 시작하게 된다.
 
 전설의 시작, 역대 최강 액션을 만나라!",존 윅 3 파라벨룸.jpg,2020.12.09,7.98,131분,키아누 리브스(존 윅),채드 스타헬스키,미국,224
미드웨이,"액션, 드라마","1941년 진주만 공습 이후,
 전 세계를 향한 일본의 야욕이 거세지고,
 역사상 최대 규모의 미국 본토 공격을 계획한다.
 
 미군은 진주만 다음 일본의 공격 목표가 어디인지 암호를 해독하기 위해 애쓰고,
 동시에 긴박하게 전열을 정비해 나간다.
 가까스로 두 번째 타겟이 ‘미드웨이’라는 것을 알아낸 미국은
 반격을 준비하지만, 절대적으로 불리한 상황이다.
 
 전 세계의 역사를 바꾼 위대한 전투의 이야기가 지금부터 시작된다!",미드웨이.jpg,2019.12.31,8.79,136분,"에드 스크레인(딕 베스트), 패트릭 윌슨(레이튼), 루크 에반스(맥클러스키)",롤랜드 에머리히,미국,225
나랏말싸미,드라마,"문자와 지식을 권력으로 독점했던 시대
 모든 신하들의 반대에 무릅쓰고, 훈민정음을 창제했던 세종의 마지막 8년.
 나라의 가장 고귀한 임금 ‘세종’과 가장 천한 신분 스님 ‘신미’가 만나
 백성을 위해 뜻을 모아 나라의 글자를 만들기 시작한다.
 모두가 알고 있지만 아무도 모르는 한글 창제의 숨겨진 이야기!
 
 1443, 불굴의 신념으로 한글을 만들었으나
 역사에 기록되지 못한 그들의 이야기가 시작된다.",나랏말싸미.jpg,2019.07.24,3.36,110분,"송강호(세종대왕), 박해일(신미 스님), 전미선(소헌왕후)",조철현,대한민국,226
신비아파트 극장판 하늘도깨비 대 요르문간드,애니메이션,"겨울방학을 맞아 가족여행을 떠난 ‘하리’와 ‘두리’ 남매는
 비행기 날개에 쓰러진 하늘도깨비 ‘주비’를 발견하고 ‘신비’와 ‘금비’를 소환한다.
 ‘주비’를 구해준 순간, 정체를 알 수 없는 ‘스큐트’들의 공격이 시작되고,
 깊은 바닷속 관에서 부활한 전설의 괴수 ‘요르문간드’는 비행기를 집어 삼키려 한다.
 
 한편 창공의 퇴마사로 선택된 ‘강림’이 친구들을 구하기 위해 합류하지만
 세상을 파괴하려는 ‘요르문간드’는 하늘도깨비들의 왕국까지 거세게 공격하고
 ‘하리’와 친구들의 피할 수 없는 하늘 위 모험이 시작되는데...",신비아파트 극장판 하늘도깨비 대 요르문간드.jpg,2019.12.19,8.53,97분,"조현정(신비 목소리), 양정화(금비 목소리), 김영은(하리 목소리)",변영규,대한민국,227
